Unit ID,Rarity,Name,Health,Knockbacks,Speed,Attack,DPS,A. Type,A. Frequency,Foreswing,Range,Cost,Recharge,Abilities
001-1,基本,ネコ,250,3,10,20,16,単体,37,8,140,75,60,-
001-2,基本,ネコビルダー,250,3,10,20,16,単体,37,8,140,75,60,-
001-3,基本,ネコモヒカン,500,3,10,40,32,単体,37,8,140,75,60,-
002-1,基本,タンクネコ,"1,000",1,8,5,2,範囲,67,8,110,150,60,-
002-2,基本,ネコカベ,"1,000",1,8,5,2,範囲,67,8,110,150,60,-
002-3,基本,ゴムネコ,"1,500",1,8,10,4,範囲,67,8,110,150,60,-
003-1,基本,バトルネコ,500,3,12,62,69,単体,27,8,150,300,60,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
003-2,基本,勇者ネコ,500,3,12,62,69,単体,27,8,150,300,60,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
003-3,基本,暗黒ネコ,"1,000",3,12,125,139,単体,27,8,150,300,60,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
004-1,基本,キモネコ,"1,000",3,10,250,59,単体,127,8,350,600,76,-
004-2,基本,美脚ネコ,"1,000",3,10,250,60,単体,125,6,350,600,76,-
004-3,基本,ムキあしネコ,"2,000",3,10,500,120,単体,125,6,350,600,236,対 エイリアン めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
005-1,基本,ウシネコ,"1,250",5,30,32,96,単体,10,6,140,750,60,-
005-2,基本,ネコキリン,"1,250",5,30,32,96,単体,10,6,140,750,60,-
005-3,基本,ネコライオン,"2,500",5,30,65,195,単体,10,6,140,750,136,-
006-1,基本,ネコノトリ,750,4,10,350,214,範囲,49,10,170,975,60,-
006-2,基本,ネコUFO,750,4,10,412,217,範囲,57,18,170,975,60,-
006-3,基本,天空のネコ,"1,500",4,10,825,434,範囲,57,18,170,975,116,対 天使 20％の確率で120～144F攻撃力50％に低下
007-1,基本,ネコフィッシュ,"1,750",3,10,450,255,単体,53,10,150,"1,200",136,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
007-2,基本,ネコクジラ,"1,750",3,10,450,255,単体,53,10,150,"1,200",136,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
007-3,基本,ネコ島,"3,500",3,10,900,509,単体,53,10,150,"1,200",256,"対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 2％の確率でクリティカル"
008-1,基本,ネコトカゲ,"2,000",3,10,875,203,単体,129,10,400,"1,500",316,-
008-2,基本,ネコドラゴン,"2,000",3,10,875,207,単体,127,8,400,"1,500",316,-
008-3,基本,ネコキングドラゴン,"2,250",3,10,"1,000",236,単体,127,8,400,"1,500",516,-
009-1,基本,巨神ネコ,"2,500",1,8,700,313,範囲,67,18,150,"1,950",556,-
009-2,基本,ネコダラボッチ,"2,500",1,8,700,313,範囲,67,18,150,"1,950",556,-
009-3,基本,ネコジャラミ,"5,000",1,8,"1,400",627,範囲,67,18,150,"1,950",676,対 全敵（メタル 無 魔 使 除く） 30％の確率でふっとばす
010-1,EX,ネコ女優,"1,000",3,10,250,60,範囲,126,7,350,900,76,-
010-2,EX,ネコ聖母,"1,000",3,10,250,60,範囲,126,7,350,900,76,-
010-3,EX,ネコマッチョ,"1,625",3,10,250,87,範囲,86,7,350,900,76,-
011-1,EX,カンフーにゃんこ,"2,250",1,9,"2,750",393,範囲,210,11,300,"2,250",606,-
011-2,EX,酔拳にゃんこ,"2,250",1,9,"3,025",432,範囲,210,11,300,"2,250",606,"3連続攻撃 605 150 2,270（11F 15F 35F）"
011-3,EX,ネコダンサー,"2,250",1,9,"3,025",432,範囲,210,35,330,"2,250",606,無効（攻撃力低下）
012-1,EX,Mr.,"1,250",5,31,87,145,範囲,18,2,140,825,226,-
012-2,EX,Super Mr.,"1,250",5,31,87,154,範囲,17,2,140,825,226,-
012-3,EX,Hyper Mr.,"1,250",5,47,87,154,範囲,17,2,140,825,226,対 ゾンビ ゾンビキラー（撃破時蘇生無効）
013-1,EX,猫縛り,"1,750",1,5,250,167,単体,45,6,120,"1,035",186,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
013-2,EX,猫縛りNEO,"1,750",1,5,250,167,単体,45,6,120,"1,035",186,対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
013-3,EX,猫縛り極上,"3,500",1,5,250,167,単体,45,6,120,"1,035",186,"対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
 50％の確率で1度だけ生き残る
 無効（ワープ）"
014-1,EX,女王猫,"1,750",1,5,330,220,単体,45,6,210,"1,440",186,"3連続攻撃 110 110 110（6F 17F 28F）
 対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）"
014-2,EX,処刑人,"1,750",1,5,330,220,単体,45,6,210,"1,440",186,"3連続攻撃 110 110 110（6F 17F 28F）
 対 赤い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）"
014-3,EX,暗黒嬢,"1,750",1,5,330,825,単体,12,6,210,"1,440",186,対 赤い敵 黒い敵 めっぽう強い（与ダメ x1.5～1.8 被ダメ 1/2～1/2.5）
015-1,EX,ネコの箱詰め,"2,000",3,35,750,223,範囲,101,8,140,"1,125",206,-
015-2,EX,ネコギャング,"2,000",3,35,750,223,範囲,101,8,140,"1,125",206,-
